Flags  |ID     |Internal Name  |Stage Name
-------+-------+---------------+---------------------------
       |0x01   |BATTLEFIELD    |Battlefield
       |0x02   |FINAL          |Final Destination (Melee)
       |0x03   |DOLPIC         |Delfino's Secret
       |0x04   |MANSION        |Luigi's Mansion
       |0x05   |MARIOPAST      |Metal Cavern
       |0x06   |KART           |Bowser's Castle
       |0x07   |DONKEY         |Kongo Jungle 64
       |0x08   |JUNGLE         |Rumble Falls
       |0x09   |PIRATES        |Pirate Ship
       |0x0B   |NORFAIR        |Norfair
       |0x0C   |ORPHEON        |Frigate Orpheon
       |0x0D   |CRAYON         |Yoshi's Island (Brawl)
       |0x0E   |HALBERD        |Halberd
       |0x13   |STARFOX        |Lylat Cruise
       |0x14   |STADIUM        |Saffron City
       |0x15   |TENGAN         |Spear Pillar
       |0x16   |FZERO          |Port Town Aero Dive
       |0x17   |ICE            |Infinite Glacier
       |0x18   |GW             |Flat Zone 2
       |0x19   |EMBLEM         |Castle Siege
       |0x1C   |MADEIN         |Wario Land
       |0x1D   |EARTH          |Distant Planet
       |0x1E   |PALUTENA       |Skyworld
       |0x1F   |FAMICOM        |Fountain of Dreams
       |0x20   |NEWPORK        |Fourside
       |0x21   |VILLAGE        |Smashville
       |0x22   |METALGEAR      |Shadow Moses Island
       |0x23   |GREENHILL      |Green Hill Zone
       |0x24   |PICTCHAT       |PictoChat
       |0x25   |PLANKTON       |Hanenbow
       |0x26   |CONFIGTEST     |Control Configuration Stage
       |0x29   |DXSHRINE       |Temple
       |0x2A   |DXYORSTER      |Yoshi's Story
       |0x2B   |DXGARDEN       |Jungle Japes
       |0x2C   |DXONETT        |Onett
       |0x2D   |DXGREENS       |Dream Land 64
       |0x2E   |DXPSTADIUM     |Pokémon Stadium 2
       |0x2F   |DXRCRUISE      |Peach's Castle 64
       |0x30   |DXCORNERIA     |Corneria
       |0x31   |DXBIGBLUE      |Big Blue
       |0x32   |DXZEBES        |Brinstar
       |0x33   |OLDIN          |Hyrule Castle
       |0x34   |HOMERUN        |Home-Run Contest
X      |0x35   |EDIT           |Stage Builder
       |0x36   |HEAL           |All-Star Rest Area
       |0x37   |ONLINETRAINING |Training Room
       |0x38   |TARGETLV       |Break the Targets
X      |0x39   |CHARAROLL      |Classic Mode Credits
       |0x40   |CUSTOM01       |Custom 01 // Custom Stages. If you don't want to see these in dropdowns, delete the lines or flag them with "X"
       |0x41   |CUSTOM02       |Custom 02
       |0x42   |CUSTOM03       |Custom 03
       |0x43   |CUSTOM04       |Custom 04
       |0x44   |CUSTOM05       |Custom 05
       |0x45   |CUSTOM06       |Custom 06
       |0x46   |CUSTOM07       |Custom 07
